quote_date,actual_pnl,var_90_psp,es_90_psp,var_90_pca,es_90_pca,var_90_pwg,es_90_pwg,var_95_psp,es_95_psp,var_95_pca,es_95_pca,var_95_pwg,es_95_pwg,var_99_psp,es_99_psp,var_99_pca,es_99_pca,var_99_pwg,es_99_pwg,breach_90_psp,breach_90_pca,breach_90_pwg,breach_95_psp,breach_95_pca,breach_95_pwg,breach_99_psp,breach_99_pca,breach_99_pwg
2013-01-03,200.1992591838072,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,73.60926858158463,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,-1731.0674684616351,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,843.2145136760332,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,-1510.4459959032752,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,-1497.7611422136324,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,-209.72434167913102,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,967.9169514414053,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,99.29205288042203,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,-58.52187080533632,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,635.947193786129,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,-2755.3812533158116,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,-1316.26123712846,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,-65.42321642180717,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,576.5322311408474,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,3944.5519189193064,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,261.73873193156476,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,2580.856459530449,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,2032.7657904435646,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,534.3203727885525,,,,,,,,,,,,,,,,,,,,,,,,,,,
