quote_date,method,observations,r_squared,log_iv_rmse,basis_functions
2013-01-02,b_spline,172,0.9999805828166813,0.0006879575414086523,49.0
2013-01-03,b_spline,172,0.9999805140928443,0.0006877057625873977,49.0
2013-01-04,b_spline,171,0.9999809145619964,0.0006906711373902275,49.0
2013-01-07,b_spline,171,0.9999809383325245,0.0007009047181284419,49.0
2013-01-08,b_spline,171,0.99998085290073,0.0006962413392129994,49.0
2013-01-09,b_spline,171,0.999981403725115,0.000701719486513049,49.0
2013-01-10,b_spline,171,0.9999814453959716,0.0007110133976997595,49.0
2013-01-11,b_spline,171,0.9999812657299963,0.0007126509124185757,49.0
2013-01-14,b_spline,171,0.999981147123977,0.0007082350812813274,49.0
2013-01-15,b_spline,171,0.9999810685397205,0.0007084709803339106,49.0
2013-01-16,b_spline,171,0.999980806648866,0.0007093216625434967,49.0
2013-01-17,b_spline,171,0.9999805274466143,0.0007065849090185406,49.0
2013-01-18,b_spline,171,0.9999811010117159,0.0007205047403764663,49.0
2013-01-21,b_spline,171,0.9999804629220532,0.0007288195317571235,49.0
2013-01-22,b_spline,170,0.9999804948401189,0.0007308636967257963,49.0
2013-01-23,b_spline,171,0.9999808282849538,0.0007255155081955183,49.0
2013-01-24,b_spline,171,0.9999799634499527,0.0007054428087022763,49.0
2013-01-25,b_spline,171,0.9999793432936587,0.000704679713075998,49.0
2013-01-28,b_spline,172,0.9999792599773748,0.0006875170528374995,49.0
2013-01-29,b_spline,172,0.9999784066060635,0.0006803331501317952,49.0
2013-01-30,b_spline,172,0.9999789215547887,0.0006773919439443272,49.0
2013-01-31,b_spline,173,0.9999786617615235,0.0006661214826548995,49.0
2013-02-01,b_spline,172,0.999978772694271,0.0006772366231368131,49.0
2013-02-04,b_spline,172,0.9999787100230485,0.0006851123494040308,49.0
2013-02-05,b_spline,172,0.9999791307467081,0.0006786953704287349,49.0
2013-02-06,b_spline,172,0.9999793445041956,0.0006758373647956175,49.0
2013-02-07,b_spline,172,0.9999787207000443,0.0006807157672584045,49.0
2013-02-08,b_spline,172,0.9999792585849981,0.0006837469798603575,49.0
